Tool,Home,Description,Collection,Topics,Functions,Input (type),Input (format),Output (type),Output (format),Reference,Docs,Terms of use,Helpdesk,Contact,Owner (GTL),Cluster,Tool Group,Maturity
BiNChE ,http://www.ebi.ac.uk/chebi/tools/binche/,Chemical class enrichment analysis based on the ChEBI ontology,EBI Tools|ChEBI Tools,Cheminformatics (topic_2258)|Ontology and terminology (topic_0089),Chemical class enrichment (operation_3502),ChEBI IDs (data_1174),,Small molecule report (data_0962)|Network(data_2600),,PMID:25879798,http://www.ebi.ac.uk/chebi/aboutChebiForward.do,http://www.ebi.ac.uk/about/terms-of-use,chebi-help@ebi.ac.uk,Venkat,Christoph Steinbeck,Chemistry and Molecular Resources Cluster,B,Established
BioModels Database Converters,http://www.ebi.ac.uk/compneur-srv/converters/converters,"Set of converters between various modelling formats, there are also some available online to be used directly",EBI Tools,Data management (topic_3071)|Systems biology (topic_2259),File format conversion (operation_0335),Mathematical model (data_0950),SBML(format_2585)|CellML (format_3240)|BioPAX (format_3156),Mathematical model (data_0950),SBML(format_2585)|CellML (format_3240)|BioPAX (format_3156),unpublished,http://www.ebi.ac.uk/compneur-srv/sbml/converters/,http://www.ebi.ac.uk/about/terms-of-use,biomodels-net-support@lists.sf.net,Nicolas Rodriguez,Henning Hermjakob,Molecular Systems,B,Established
Bubastis,http://www.ebi.ac.uk/efo/bubastis/,"Bubastis is an ontology change tool which is able to analyse two ontologies (typically two versions of the same ontology) to highlight logical changes which have occurred and to present these changes in more or less detail, as required",EBI Tools|Parkinson Tools,Ontology and terminology (topic_0089)|Data management (topic_3071),Ontology comparison (operation_3353),Ontologies (data_0582),,Ontology metadata (data_2223),,unpublished,http://www.ebi.ac.uk/fgpt/sw/bubstatis/,http://www.apache.org/licenses/LICENSE-2.0,http://www.ebi.ac.uk/support/,Tony Burdett (tburdett@ebi.ac.uk),Helen Parkinson,Cross-domain,B,Established
ChEMBL Biologicals BLAST Search,https://www.ebi.ac.uk/chembl/compound,BLAST search against biological molecules (e.g. mAbs) stored in ChEMBL database,EBI Tools|ChEMBL Tools,Sequence analysis (topic_0080)|Drug discovery (topic_3336)|Cheminformatics (topic_2258),Sequence similarity search (operation_0346),Protein sequence (data_2976),FASTA (format_1929),Chemical structure report (data_0962),,PMID:2231712,https://www.ebi.ac.uk/chembl/compound,http://www.ebi.ac.uk/about/terms-of-use,chembl-help@ebi.ac.uk,Michal Nowotka (mnowotka@ebi.ac.uk),Anne Hersey,Chemistry,B,Established
ChEMBL BLAST Search,https://www.ebi.ac.uk/chembl/target,BLAST search against protein targets stored in ChEMBL database,EBI Tools|ChEMBL Tools,Sequence analysis (topic_0080)|Cheminformatics (topic_2258),Sequence similarity search (operation_0346),Protein sequence (data_2976),FASTA (format_1929),Chemical structure report (data_0962),,PMID:2231712,https://www.ebi.ac.uk/chembl/target,http://www.ebi.ac.uk/about/terms-of-use,chembl-help@ebi.ac.uk,Michal Nowotka (mnowotka@ebi.ac.uk),Anne Hersey,Chemistry,B,Established
ChEMBL NTD Small Molecule Search,https://www.ebi.ac.uk/chemblntd/compound/structure_home,Search against small molecules stored in ChEMBL NTD database,EBI Tools|ChEMBL Tools,Cheminformatics (topic_2258),Structure databases search (operation_0339),Chemical structure sketch (data_3490),,Chemical structure report (data_0962),,PMID:23694746,https://www.ebi.ac.uk/chembl/NTD,http://www.ebi.ac.uk/about/terms-of-use,chembl-help@ebi.ac.uk,Michal Nowotka (mnowotka@ebi.ac.uk),Anne Hersey,Chemistry,B,Established
ChEMBL Small Molecule Search,https://www.ebi.ac.uk/chembl/compound,Search against small molecules stored in ChEMBL database,EBI Tools|ChEMBL Tools,Cheminformatics (topic_2258),Structure databases search (operation_0339),Chemical structure sketch (data_3490),,Chemical structure report (data_0962),,PMID:23694746,https://www.ebi.ac.uk/chembl/compound,http://www.ebi.ac.uk/about/terms-of-use,chembl-help@ebi.ac.uk,Michal Nowotka (mnowotka@ebi.ac.uk),Anne Hersey,Chemistry,B,Established
Chimira,http://www.ebi.ac.uk/enright-srv/chimira/,"A web-based engine for small RNA sequence analysis, quantitation and variant calling.",,"Functional, regulatory and non-coding RNA (topic_0659)",,,,,,PMID:26093149,,,,,Anton Enright,R,C,Young
Clustal Omega,http://www.ebi.ac.uk/Tools/msa/clustalo/,Multiple sequence alignment using  guide trees and HMM profile-profile techniques,EBI Tools,Sequence analysis (topic_0080)|Proteins (topic_0078)|Nucleic acids (topic_0077),Multiple sequence alignment (operation_0492),Sequences (data_2044),,Sequence alignment (data_0863),,PMID:21988835,http://www.ebi.ac.uk/Tools/msa/clustalo/,http://www.ebi.ac.uk/about/terms-of-use,http://www.ebi.ac.uk/support/,Web Production (es-request@ebi.ac.uk),Tools Committee,T,A,Established
ClustalW2 Phylogeny,http://www.ebi.ac.uk/Tools/phylogeny/clustalw2_phylogeny/,Phylogenetic tree generation from an alignment using neighbor-joining or UPGMA,EBI Tools,Phylogeny (topic_0084)Proteins (topic_0078)|Nucleic acids (topic_0077),Phylogenetic tree generation (operation_0323),Sequence alignment (data_0863),,Phylogenetic tree (data_0872),,,http://www.ebi.ac.uk/Tools/phylogeny/clustalw2_phylogeny/,http://www.ebi.ac.uk/about/terms-of-use,http://www.ebi.ac.uk/support/,Web Production (es-request@ebi.ac.uk),Tools Committee,T,A,Established
CSS,http://www.ebi.ac.uk/thornton-srv/databases/CSS_NEW,Searches a protein structure for likely catalytic sites,EBI Tools|Thornton Tools,"Protein structure analysis (topic_2814)|Protein sites, features and motifs"" (topic_3510)|Proteins (topic_0078)|Enzymes (topic_0821)",Protein binding site prediction (from structure) (operation_0388),Protein structure (data_1460),PDB (format_1476),Protein structure report (data_1537)|Protein features (data_1277)|Protein structure image (data_2992),,PMID:24319146,http://www.ebi.ac.uk/thornton-srv/databases/CSS_NEW/help.php,http://www.ebi.ac.uk/about/terms-of-use,nickf@ebi.ac.uk,Nick Furnham (nickf@ebi.ac.uk),Janet Thornton,R,C,Retiring
DrugEBIlity BLAST Search,https://www.ebi.ac.uk/chembl/drugebility/blast,BLAST search against structural domains stored in DrugEBIlity database,EBI Tools|ChEMBL Tools,Sequence analysis (topic_0080)|Drug discovery (topic_3336)|Cheminformatics (topic_2258)|Protein interactions (topic_0128),Sequence similarity search (operation_0346),Protein sequence (data_2976),FASTA (format_1929),Protein-drug interaction report (data_2402),,PMID:2231712,https://www.ebi.ac.uk/chembl/drugebility/blast,http://www.ebi.ac.uk/about/terms-of-use,chembl-help@ebi.ac.uk,Michal Nowotka (mnowotka@ebi.ac.uk),Anne Hersey,Chemistry,B,Established
EMBOSS backtranambig,http://www.ebi.ac.uk/Tools/st/emboss_backtranambig/,Back-translate a protein sequence to ambiguous nucleotide sequence,EBI Tools|EMBOSS at EBI Tools,Sequence analysis (topic_0080)|Proteins (topic_0078),DNA back-translation (operation_2510),Protein sequence (data_2976),,Nucleic acid sequence (data_2977),,PMID:10827456,http://www.ebi.ac.uk/Tools/st/emboss_backtranambig/,http://www.ebi.ac.uk/about/terms-of-use,http://www.ebi.ac.uk/support/,Web Production (es-request@ebi.ac.uk),Tools Committee,T,A,Established
EMBOSS backtranseq,http://www.ebi.ac.uk/Tools/st/emboss_backtranseq/,"Back-translate a protein sequence to a nucleotide sequence, using codon frequency",EBI Tools|EMBOSS at EBI Tools,Sequence analysis (topic_0080)|Proteins (topic_0078),DNA back-translation (operation_2510),Protein sequence (data_2976),,Nucleic acid sequence (data_2977),,PMID:10827456,http://www.ebi.ac.uk/Tools/st/emboss_backtranseq/,http://www.ebi.ac.uk/about/terms-of-use,http://www.ebi.ac.uk/support/,Web Production (es-request@ebi.ac.uk),Tools Committee,T,A,Established
EMBOSS cpgplot,http://www.ebi.ac.uk/Tools/seqstats/emboss_cpgplot/,Identification of potential CpG islands,EBI Tools|EMBOSS at EBI Tools,"Nucleic acid sites, features and motifs (topic_3511)|Nucleic acids (topic_0077)",CpG island and isochore detection (operation_0430),Nucleic acid sequence (data_2977),,Nucleic acid features (data_1276),,PMID:10827456,http://www.ebi.ac.uk/Tools/seqstats/emboss_cpgplot/,http://www.ebi.ac.uk/about/terms-of-use,http://www.ebi.ac.uk/support/,Web Production (es-request@ebi.ac.uk),Tools Committee,T,A,Established
EMBOSS isochore,http://www.ebi.ac.uk/Tools/seqstats/emboss_isochore/,Plot potential isochore features,EBI Tools,"Nucleic acid sites, features and motifs (topic_3511)|Nucleic acids (topic_0077)",CpG island and isochore detection (operation_0430),Nucleic acid sequence (data_2977),,Nucleic acid features (data_1276),,PMID:10827456,http://www.ebi.ac.uk/Tools/seqstats/emboss_isochore/,http://www.ebi.ac.uk/about/terms-of-use,http://www.ebi.ac.uk/support/,Web Production (es-request@ebi.ac.uk),Tools Committee,T,A,Established
EMBOSS matcher,http://www.ebi.ac.uk/Tools/psa/emboss_matcher/,Waterman-Eggert local alignment of two sequences,EBI Tools|EMBOSS at EBI Tools,Sequence analysis (topic_0080)|Proteins (topic_0078)|Nucleic acids (topic_0077),Pairwise sequence alignment (operation_0491)|Local sequence alignment (operation_0495),Sequences (data_2044),,Sequence alignment (protein pair) (data_1387),,PMID:10827456,http://www.ebi.ac.uk/Tools/psa/emboss_matcher/,http://www.ebi.ac.uk/about/terms-of-use,http://www.ebi.ac.uk/support/,Web Production (es-request@ebi.ac.uk),Tools Committee,T,A,Established
EMBOSS needle,http://www.ebi.ac.uk/Tools/psa/emboss_needle/,Needleman-Wunsch global alignment of two sequences,EBI Tools|EMBOSS at EBI Tools,Sequence analysis (topic_0080)|Proteins (topic_0078)|Nucleic acids (topic_0077),Pairwise sequence alignment (operation_0491)|Global sequence alignment (operation_0496),Sequences (data_2044),,Sequence alignment (pair) (data_1381),,PMID:10827456,http://www.ebi.ac.uk/Tools/psa/emboss_needle/,http://www.ebi.ac.uk/about/terms-of-use,http://www.ebi.ac.uk/support/,Web Production (es-request@ebi.ac.uk),Tools Committee,T,A,Established
EMBOSS newcpgreport,http://www.ebi.ac.uk/Tools/seqstats/emboss_newcpgreport/,Identification of potential CpG islands,EBI Tools,"Nucleic acid sites, features and motifs (topic_3511)|Nucleic acids (topic_0077)",CpG island and isochore detection (operation_0430),Nucleic acid sequence (data_2977),,Nucleic acid features (data_1276),,PMID:10827456,http://www.ebi.ac.uk/Tools/seqstats/emboss_newcpgreport/,http://www.ebi.ac.uk/about/terms-of-use,http://www.ebi.ac.uk/support/,Web Production (es-request@ebi.ac.uk),Tools Committee,T,A,Established
EMBOSS pepinfo,http://www.ebi.ac.uk/Tools/seqstats/emboss_pepinfo/,Plot amino acid properties of a protein sequence in parallel,EBI Tools|EMBOSS at EBI Tools,Protein properties (topic_0123)|Proteins (topic_0078),Protein property calculation (operation_0250),Protein sequence (data_2976),,Protein properties (data_0897),,PMID:10827456 ,http://www.ebi.ac.uk/Tools/seqstats/emboss_pepinfo/,http://www.ebi.ac.uk/about/terms-of-use,http://www.ebi.ac.uk/support/,Web Production (es-request@ebi.ac.uk),Tools Committee,T,A,Established
EMBOSS pepstats,http://www.ebi.ac.uk/Tools/seqstats/emboss_pepstats/,Calculate statistics of protein properties,EBI Tools|EMBOSS at EBI Tools,Protein properties (topic_0123)|Proteins (topic_0078),Protein property calculation (operation_0250),Protein sequence (data_2976),,Protein properties (data_0897),,PMID:10827456 ,http://www.ebi.ac.uk/Tools/seqstats/emboss_pepstats/,http://www.ebi.ac.uk/about/terms-of-use,http://www.ebi.ac.uk/support/,Web Production (es-request@ebi.ac.uk),Tools Committee,T,A,Established
EMBOSS pepwindow,http://www.ebi.ac.uk/Tools/seqstats/emboss_pepwindow/,Draw a hydropathy plot for a protein sequence,EBI Tools|EMBOSS at EBI Tools,Protein properties (topic_0123)|Proteins (topic_0078),Protein hydropathy calculation (operation_2574),Protein sequence (data_2976),,Protein sequence hydropathy plot (data_1522),,PMID:10827456 ,http://www.ebi.ac.uk/Tools/seqstats/emboss_pepwindow/,http://www.ebi.ac.uk/about/terms-of-use,http://www.ebi.ac.uk/support/,Web Production (es-request@ebi.ac.uk),Tools Committee,T,A,Established
EMBOSS seqret,http://www.ebi.ac.uk/Tools/sfc/emboss_seqret/,Sequence format conversion tool,EBI Tools|EMBOSS at EBI Tools,Sequence analysis (topic_0080)|Nucleic acids (topic_0077),Sequence formatting (operation_0561),Sequences (data_2044)|Sequence alignment (data_0863),,Sequences (data_2044)|Sequence alignment (data_0863),,PMID:10827456,http://www.ebi.ac.uk/Tools/sfc/emboss_seqret/,http://www.ebi.ac.uk/about/terms-of-use,http://www.ebi.ac.uk/support/,Web Production (es-request@ebi.ac.uk),Tools Committee,T,A,Established
EMBOSS sixpack,http://www.ebi.ac.uk/Tools/st/emboss_sixpack/,"Six frame nucleotide sequence translation, with ORF finding",EBI Tools|EMBOSS at EBI Tools,Sequence analysis (topic_0080)|Nucleic acids (topic_0077),DNA translation (operation_0371)|ORF prediction (operation_0436),Nucleic acid sequence (data_2977),,Protein sequences (data_2976),,PMID:10827456,http://www.ebi.ac.uk/Tools/st/emboss_sixpack/,http://www.ebi.ac.uk/about/terms-of-use,http://www.ebi.ac.uk/support/,Web Production (es-request@ebi.ac.uk),Tools Committee,T,A,Established
EMBOSS stretcher,http://www.ebi.ac.uk/Tools/psa/emboss_stretcher/,Improved version of the Needleman-Wunsch algorithm that allows rapid global alignment of two larger sequences,EBI Tools|EMBOSS at EBI Tools,Sequence analysis (topic_0080)|Proteins (topic_0078)|Nucleic acids (topic_0077),Pairwise sequence alignment (operation_0491)|Global sequence alignment (operation_0496),Sequences (data_2044),,Sequence alignment (pair) (data_1381),,PMID:10827456,http://www.ebi.ac.uk/Tools/psa/emboss_stretcher/,http://www.ebi.ac.uk/about/terms-of-use,http://www.ebi.ac.uk/support/,Web Production (es-request@ebi.ac.uk),Tools Committee,T,A,Established
EMBOSS transeq,http://www.ebi.ac.uk/Tools/st/emboss_transeq/,Nucleotide sequence translation in selected frames,EBI Tools|EMBOSS at EBI Tools,Sequence analysis (topic_0080)|Nucleic acids (topic_0077),DNA translation (operation_0371),Nucleic acid sequence (data_2977),,Protein sequences (data_2976),,PMID:10827456,http://www.ebi.ac.uk/Tools/st/emboss_transeq/,http://www.ebi.ac.uk/about/terms-of-use,http://www.ebi.ac.uk/support/,Web Production (es-request@ebi.ac.uk),Tools Committee,T,A,Established
EMBOSS water,http://www.ebi.ac.uk/Tools/psa/emboss_water/,Smith-Waterman local pairwise alignment of sequences,EBI Tools|EMBOSS at EBI Tools,Sequence analysis (topic_0080)|Proteins (topic_0078)|Nucleic acids (topic_0077),Pairwise sequence alignment (operation_0491)|Local sequence alignment (operation_0495),Sequences (data_2044),,Sequence alignment (pair) (data_1381),,PMID:10827456,http://www.ebi.ac.uk/Tools/psa/emboss_water/,http://www.ebi.ac.uk/about/terms-of-use,http://www.ebi.ac.uk/support/,Web Production (es-request@ebi.ac.uk),Tools Committee,T,A,Established
ENA sequence search,http://www.ebi.ac.uk/ena/data/sequence/search,Sequence similarity search to retrieve sequence and associated records from ENA,EBI Tools|ENA Tools,Sequence analysis (topic_0080)|Nucleic acids (topic_0077)|Proteins (topic_0078),Sequence similarity search (operation_0346),Sequence (data_2044),"EMBL format (format_1927), FASTA (format_1929), completely unambiguous pure (format_2567)",Sequence search results (data_0857),"output is provided by EBI's central BLAST search service, so shares all output formats with this service",unpublished,http://www.ebi.ac.uk/ena/browse/sequence-search,http://www.ebi.ac.uk/about/terms-of-use,datasubs@ebi.ac.uk.,Cochrane team (datasubs@ebi.ac.uk),Guy Cochrane,GGV,B,Established
Ensembl Genomes Bacteria Blast,http://bacteria.ensembl.org/Multi/blastview,Searches Ensembl Bacteria sequences using NCBI-BLAST,EBI Tools|Ensembl Tools,Sequence analysis (topic_0080)|Nucleic acids (topic_0077)|Proteins (topic_0078),Sequence similarity search (operation_0346),Sequences (data_2044),FASTA (format_1929),Sequence alignment (data_0863)|Sequence search results (data_0857), ,PMID:26578574,http://bacteria.ensembl.org/info/website/help/index.html,http://www.ebi.ac.uk/about/terms-of-use,helpdesk@ensemblgenomes.org,Ensembl team (eg-webteam@ebi.ac.uk),Paul Kersey,GGV,B,Established
Ensembl Genomes Bacteria ID history converter,http://bacteria.ensembl.org/tools.html,Convert a set of Ensembl IDs from a previous release into their current equivalents,EBI Tools|Ensembl Tools,Data identity and mapping (topic_3345),ID mapping (operation_3282),Ensembl IDs (data_2610), ,Ensembl IDs (data_2610), ,PMID:26553810,http://bacteria.ensembl.org/info/website/help/index.html,http://www.ebi.ac.uk/about/terms-of-use,helpdesk@ensemblgenomes.org,Ensembl Genomes webteam (eg-webteam@ebi.ac.uk),Paul Kersey,GGV,B,Established
Ensembl Genomes Bacteria sequence search,http://bacteria.ensembl.org/Multi/enasearch,Searches Ensembl Bacteria sequences using Exonerate,EBI Tools|Ensembl Tools,Sequence analysis (topic_0080)|Nucleic acids (topic_0077)|Proteins (topic_0078),Sequence similarity search (operation_0346),Sequences (data_2044),FASTA (format_1929),Sequence alignment (data_0863)|Sequence search results (data_0857), ,PMID:26578600,http://bacteria.ensembl.org/info/website/help/index.html,http://www.ebi.ac.uk/about/terms-of-use,helpdesk@ensemblgenomes.org,Ensembl Genomes webteam (eg-webteam@ebi.ac.uk),Paul Kersey,GGV,B,Established
Ensembl Genomes Bacteria VEP,http://bacteria.ensembl.org/tools.html,Upload a set of SNPs in our standard format and export a file containing consequence types,EBI Tools|Ensembl Tools,Genetic variation (topic_0199)|Nucleic acids (topic_0077)|NGS (topic_3168),Variant classification (operation_3225),Sequence variations (data_3498),Ensembl variation file format (format_3499)|VCF (format_3016),Report (data_2048),Textual format (format_2330)|HTML (format_2331),PMID:26578560,http://bacteria.ensembl.org/info/website/help/index.html,http://www.ebi.ac.uk/about/terms-of-use,helpdesk@ensemblgenomes.org,Ensembl Genomes webteam (eg-webteam@ebi.ac.uk),Paul Kersey,GGV,B,Established
Ensembl Genomes Fungi assembly converter,http://fungi.ensembl.org/tools.html,Map your data to the current assembly,EBI Tools|Ensembl Tools,Nucleic acids (topic_0077)|NGS (topic_3168),Read mapping (operation_3198),Genomic features (data_1276),GFF (format_2305)|GTF (format_2306)|BED (format_3003)|PSL (format_3007), ,GFF (format_2305),PMID:26578567,http://fungi.ensembl.org/info/website/help/index.html,http://www.ebi.ac.uk/about/terms-of-use,helpdesk@ensemblgenomes.org,Ensembl Genomes webteam (eg-webteam@ebi.ac.uk),Paul Kersey,GGV,B,Established
Ensembl Genomes Fungi Blast,http://fungi.ensembl.org/Multi/blastview,Searches Ensembl Fungi sequences using BLAST,EBI Tools|Ensembl Tools,Sequence analysis (topic_0080)|Nucleic acids (topic_0077)|Proteins (topic_0078),Sequence similarity search (operation_0346),Sequences (data_2044),FASTA (format_1929),Sequence alignment (data_0863)|Sequence search results (data_0857), ,PMID:26578577,http://fungi.ensembl.org/info/website/help/index.html,http://www.ebi.ac.uk/about/terms-of-use,helpdesk@ensemblgenomes.org,Ensembl Genomes webteam (eg-webteam@ebi.ac.uk),Paul Kersey,GGV,B,Established
Ensembl Genomes Fungi data slicer,http://fungi.ensembl.org/tools.html,Get a subset of data from a BAM | VCF file,EBI Tools|Ensembl Tools,Data management (topic_3071)|NGS (topic_3168)|Nucleic acids (topic_0077),Sequence file editing (operation_2121),Sequence alignment (data_0863)|Sequence variations (data_3498)|Sequence coordinates (data_2012),BAM (format_2572)|VCF (format_3016), ,BAM (format_2572)|VCF (format_3016),PMID:26578586,http://fungi.ensembl.org/info/website/help/index.html,http://www.ebi.ac.uk/about/terms-of-use,helpdesk@ensemblgenomes.org,Ensembl Genomes webteam (eg-webteam@ebi.ac.uk),Paul Kersey,GGV,B,Established
Ensembl Genomes Fungi ID history converter,http://fungi.ensembl.org/tools.html,Convert a set of Ensembl IDs from a previous release into their current equivalents,EBI Tools|Ensembl Tools,Data identity and mapping (topic_3345),ID mapping (operation_3282),Ensembl IDs (data_2610), ,Ensembl IDs (data_2610), ,PMID:26578596,http://fungi.ensembl.org/info/website/help/index.html,http://www.ebi.ac.uk/about/terms-of-use,helpdesk@ensemblgenomes.org,Ensembl Genomes webteam (eg-webteam@ebi.ac.uk),Paul Kersey,GGV,B,Established
Ensembl Genomes Fungi sequence search,http://fungi.ensembl.org/Multi/enasearch,Searches Ensembl Fungi sequences using Exonerate,EBI Tools|Ensembl Tools,Sequence analysis (topic_0080)|Nucleic acids (topic_0077)|Proteins (topic_0078),Sequence similarity search (operation_0346),Sequences (data_2044),FASTA (format_1929),Sequence alignment (data_0863)|Sequence search results (data_0857), ,PMID:26578572,http://fungi.ensembl.org/info/website/help/index.html,http://www.ebi.ac.uk/about/terms-of-use,helpdesk@ensemblgenomes.org,Ensembl Genomes webteam (eg-webteam@ebi.ac.uk),Paul Kersey,GGV,B,Established
Ensembl Genomes Fungi VEP,http://fungi.ensembl.org/tools.html,Upload a set of SNPs in our standard format and export a file containing consequence types,EBI Tools|Ensembl Tools,Genetic variation (topic_0199)|Nucleic acids (topic_0077)|NGS (topic_3168),Variant classification (operation_3225),Sequence variations (data_3498),Ensembl variation file format (format_3499)|VCF (format_3016),Report (data_2048),Textual format (format_2330)|HTML (format_2331),PMID:26578573,http://fungi.ensembl.org/info/website/help/index.html,http://www.ebi.ac.uk/about/terms-of-use,helpdesk@ensemblgenomes.org,Ensembl Genomes webteam (eg-webteam@ebi.ac.uk),Paul Kersey,GGV,B,Established
Ensembl Genomes Metazoa assembly converter,http://metazoa.ensembl.org/tools.html,Map your data to the current assembly,EBI Tools|Ensembl Tools,Nucleic acids (topic_0077)|NGS (topic_3168),Read mapping (operation_3198),Genomic features (data_1276),GFF (format_2305)|GTF (format_2306)|BED (format_3003)|PSL (format_3007), ,GFF (format_2305),PMID:26578602,http://metazoa.ensembl.org/info/website/help/index.html,http://www.ebi.ac.uk/about/terms-of-use,helpdesk@ensemblgenomes.org,Ensembl Genomes webteam (eg-webteam@ebi.ac.uk),Paul Kersey,GGV,B,Established
Ensembl Genomes Metazoa Blast,http://metazoa.ensembl.org/Multi/blastview,Searches Ensembl Metazoa sequences using BLAST,EBI Tools|Ensembl Tools,Sequence analysis (topic_0080)|Nucleic acids (topic_0077)|Proteins (topic_0078),Sequence similarity search (operation_0346),Sequences (data_2044),FASTA (format_1929),Sequence alignment (data_0863)|Sequence search results (data_0857), ,PMID:26578591,http://metazoa.ensembl.org/info/website/help/index.html,http://www.ebi.ac.uk/about/terms-of-use,helpdesk@ensemblgenomes.org,Ensembl Genomes webteam (eg-webteam@ebi.ac.uk),Paul Kersey,GGV,B,Established
